document_id,title,topic,crop,agro_zone,text,origin,source_url,license
doc_dis_004,Cassava bacterial blight,crop_diseases,cassava,sub_humid,"Cassava bacterial blight is caused by a bacterium that lives inside leaves and stems. Early signs are small, angular, water-soaked spots on the lower leaf surface that enlarge and turn brown, causing leaf blighting, wilting, and shoot tip die-back in severe cases. The petiole stays horizontal before leaves fall, unlike anthracnose-damaged leaves whose petioles droop. The bacterium spreads through infected stem cuttings, rain splash, contaminated tools, and insects such as grasshoppers, and damage is worse in the wet season and in young plants.","Msikita, W., James, B., Nnodu, E., Legg, J., Wydra, K., Ogbe, F. Disease Control in Cassava Farms: IPM Field Guide for Extension Agents. International Institute of Tropical Agriculture (IITA).",,IITA (all rights reserved; reproduce with permission)
doc_dis_005,Cassava anthracnose disease,crop_diseases,cassava,sub_humid,"Cassava anthracnose disease is caused by a fungus that produces cankers, or sores, on stems and at the base of leaf petioles. The cankers weaken petioles so leaves droop and wilt, and soft stem parts can twist and break under severe attack, usually starting at the beginning of the rains. The fungus spreads by wind-borne spores from cankers and by planting infected stem cuttings, entering through wounds made by the bug Pseudotheraptus devastans. Besides cassava, the fungus also affects coffee, pepper, and pawpaw.","Msikita, W., James, B., Nnodu, E., Legg, J., Wydra, K., Ogbe, F. Disease Control in Cassava Farms: IPM Field Guide for Extension Agents. International Institute of Tropical Agriculture (IITA).",,IITA (all rights reserved; reproduce with permission)
doc_dis_006,Cassava bud necrosis,crop_diseases,cassava,sub_humid,"Cassava bud necrosis is a fungal disease that appears as patches of brown or grey fungal growth covering the stem, sometimes over the buds, or eyes, of stem cuttings. Affected buds die, which reduces the sprouting ability of planting material taken from infected stems. The fungus survives on diseased cassava stems and debris left after harvest and spreads mainly through planting infected cuttings, so destroying diseased residues and selecting clean stems for planting material limits its spread.","Msikita, W., James, B., Nnodu, E., Legg, J., Wydra, K., Ogbe, F. Disease Control in Cassava Farms: IPM Field Guide for Extension Agents. International Institute of Tropical Agriculture (IITA).",,IITA (all rights reserved; reproduce with permission)
doc_dis_007,Cassava leaf spot diseases,crop_diseases,cassava,sub_humid,"Three fungal leaf spot diseases occur on cassava: white leaf spot shows circular white or brownish-yellow spots often with purplish borders; brown leaf spot shows small brown spots with dark borders that can leave a shot-hole appearance as dead tissue falls out; and leaf blight shows larger light brown lesions not limited by leaf veins and lacking the water-soaked look of bacterial blight. All three spread from infected leaves on the plant or on the ground via wind or rain splash, and severe brown spot attack causes yellowing, drying, and early leaf death.","Msikita, W., James, B., Nnodu, E., Legg, J., Wydra, K., Ogbe, F. Disease Control in Cassava Farms: IPM Field Guide for Extension Agents. International Institute of Tropical Agriculture (IITA).",,IITA (all rights reserved; reproduce with permission)
doc_dis_008,Cassava brown streak disease,crop_diseases,cassava,sub_humid,"Cassava brown streak disease is caused by a virus historically reported only in East and Southern Africa. Leaves show yellow patches mixed with normal green, more visible on mature leaves and without the leaf distortion seen in cassava mosaic disease. Stems develop dark brown streaks on the upper green portions and may show shoot tip die-back, while storage roots become distorted with cracks and brown discoloration. The virus spreads mainly through infected stem cuttings and is believed to also be transmitted by insects between plants.","Msikita, W., James, B., Nnodu, E., Legg, J., Wydra, K., Ogbe, F. Disease Control in Cassava Farms: IPM Field Guide for Extension Agents. International Institute of Tropical Agriculture (IITA).",,IITA (all rights reserved; reproduce with permission)
doc_dis_009,Cassava root rot diseases,crop_diseases,cassava,sub_humid,"Cassava root rot is caused by various soil-living fungi that mainly occur in poorly drained soils and recently cleared forest fallow land. Affected plants show scorched, wilting, browning leaves, and both feeder and storage roots are killed; storage roots may swell unusually, develop light brown coloration inside, and give off a bad smell as they rot. The fungi spread through contaminated soil and infected root or stem debris, entering through wounds made by pests or farm tools, so cleaning tillage tools and burning infected plant debris helps limit spread. Root rot fungi also attack maize, soybean, sunflower, and coffee.","Msikita, W., James, B., Nnodu, E., Legg, J., Wydra, K., Ogbe, F. Disease Control in Cassava Farms: IPM Field Guide for Extension Agents. International Institute of Tropical Agriculture (IITA).",,IITA (all rights reserved; reproduce with permission)
doc_dis_010,Why cassava diseases cause economic loss,crop_diseases,cassava,sub_humid,"Cassava diseases cause losses in several ways beyond direct root damage. Root rot and brown streak disease directly reduce storage root yield, while leaf and stem diseases interfere with the plant's ability to make and store food, reducing the number and size of storage roots even though most varieties tolerate some leaf loss without yield loss. Diseases that contaminate stems with viruses, bacteria, or fungi make cuttings unhealthy and unsuitable as planting material, and defoliation from disease encourages weed growth and, on loose soils, exposes soil to erosion.","Msikita, W., James, B., Nnodu, E., Legg, J., Wydra, K., Ogbe, F. Disease Control in Cassava Farms: IPM Field Guide for Extension Agents. International Institute of Tropical Agriculture (IITA).",,IITA (all rights reserved; reproduce with permission)
doc_dis_011,When cassava diseases cause the worst losses,crop_diseases,cassava,sub_humid,"The timing of a cassava disease attack affects how much yield is lost. For example, under cassava mosaic disease, losses are higher when plants become infected within the first four months after planting than when infection happens later, and leaf spot diseases mainly occur on older leaves of plants over five to nine months old, making them unlikely to cause severe yield loss. Season also matters: bacterial blight and anthracnose damage is worse in the wet season, while brown streak symptoms are more serious in the dry season, and root rot can be severe in either season depending on the fungus involved.","Msikita, W., James, B., Nnodu, E., Legg, J., Wydra, K., Ogbe, F. Disease Control in Cassava Farms: IPM Field Guide for Extension Agents. International Institute of Tropical Agriculture (IITA).",,IITA (all rights reserved; reproduce with permission)
doc_dis_012,Choosing healthy cassava planting material,crop_diseases,cassava,sub_humid,"Since most cassava diseases spread through infected stem cuttings, selecting healthy planting material is the main way to control them. Avoid stems showing leaf discoloration or chlorosis, leaf blighting and wilting, gum exudate, cankers, fungus patches, or streaks, since cuttings from such plants sprout into diseased seedlings or fail to sprout at all. For cassava mosaic disease specifically, take cuttings from branches rather than the main stem or basal portions where possible, and tag and select at harvest time the plants that sprouted without disease symptoms as future planting material.","Msikita, W., James, B., Nnodu, E., Legg, J., Wydra, K., Ogbe, F. Disease Control in Cassava Farms: IPM Field Guide for Extension Agents. International Institute of Tropical Agriculture (IITA).",,IITA (all rights reserved; reproduce with permission)
doc_dis_013,Cassava variety tolerance to common diseases,crop_diseases,cassava,sub_humid,"Cassava varieties released across West and Central Africa differ in tolerance to major diseases and pests. For example, IITA variety TMS 30572 combines high yield potential with good tolerance to cassava green mite, cassava mosaic disease, and cassava bacterial blight, while Nigerian variety NR 8082 shows good tolerance across cassava green mite, mosaic disease, and bacterial blight along with high dry matter content. Selecting a variety with tolerance to the diseases common in a given locality, alongside good planting material and field sanitation, is a key part of integrated cassava disease management.","Msikita, W., James, B., Nnodu, E., Legg, J., Wydra, K., Ogbe, F. Disease Control in Cassava Farms: IPM Field Guide for Extension Agents. International Institute of Tropical Agriculture (IITA).",,IITA (all rights reserved; reproduce with permission)
