question,topic,crop,agro_zone,document_id,reference_answer,QuestionId
My cassava leaves have angular water-soaked spots underneath — what is it?,crop_diseases,cassava,sub_humid,doc_dis_004,"Likely cassava bacterial blight; spots enlarge, turn brown, and cause leaf blighting.",46
How does cassava bacterial blight spread?,crop_diseases,cassava,sub_humid,doc_dis_004,"Through infected stem cuttings, rain splash, contaminated tools, and insects like grasshoppers.",47
When is cassava bacterial blight worst?,crop_diseases,cassava,sub_humid,doc_dis_004,Damage is worse in the wet season and in young plants.,48
How can I tell bacterial blight from anthracnose on cassava leaves?,crop_diseases,cassava,sub_humid,doc_dis_004,"Bacterial blight leaves keep a horizontal petiole before falling, while anthracnose-damaged petioles droop.",49
My cassava field tools cut infected plants — any risk?,crop_diseases,cassava,sub_humid,doc_dis_004,"Yes, contaminated tools can spread the bacterium; clean tools between plants.",50
What causes cankers on my cassava stems?,crop_diseases,cassava,sub_humid,doc_dis_005,"Cassava anthracnose disease, a fungus that produces cankers on stems and petiole bases.",51
Why are my cassava stems twisting and breaking?,crop_diseases,cassava,sub_humid,doc_dis_005,"Severe anthracnose attack can twist and break soft stem parts, usually starting at the rains.",52
What insect helps spread cassava anthracnose?,crop_diseases,cassava,sub_humid,doc_dis_005,"The bug Pseudotheraptus devastans, which creates wounds the fungus enters through.",53
Does cassava anthracnose affect other crops on my farm?,crop_diseases,cassava,sub_humid,doc_dis_005,"Yes, it can also affect coffee, pepper, and pawpaw.",54
How does cassava anthracnose spread between fields?,crop_diseases,cassava,sub_humid,doc_dis_005,By wind-borne spores from cankers and by planting infected stem cuttings.,55
Grey fungal patches on my cassava stem cuttings — what's wrong?,crop_diseases,cassava,sub_humid,doc_dis_006,Likely cassava bud necrosis; it can kill the buds and reduce sprouting.,56
Why won't my cassava stem cuttings sprout?,crop_diseases,cassava,sub_humid,doc_dis_006,Bud necrosis fungus may have killed the buds (eyes) on the cuttings.,57
How does bud necrosis spread in cassava?,crop_diseases,cassava,sub_humid,doc_dis_006,Mainly through planting infected stem cuttings and via debris left after harvest.,58
What should I do with old diseased cassava stems after harvest?,crop_diseases,cassava,sub_humid,doc_dis_006,"Destroy them, since dead diseased stems and debris serve as sources of bud necrosis.",59
Is bud necrosis limited to cassava stems only?,crop_diseases,cassava,sub_humid,doc_dis_006,"No, the fungal patches appear on both stems and leaves.",60
My cassava leaves have small brown spots with a shot-hole look — what disease?,crop_diseases,cassava,sub_humid,doc_dis_007,Cassava brown leaf spot; dead tissue can fall out leaving a shot-hole appearance.,61
White circular spots with purple borders on cassava leaves — what is that?,crop_diseases,cassava,sub_humid,doc_dis_007,Cassava white leaf spot disease.,62
How is cassava leaf blight different from bacterial blight?,crop_diseases,cassava,sub_humid,doc_dis_007,Leaf blight lesions lack the water-soaked look and dark borders typical of bacterial blight.,63
How do cassava leaf spot diseases spread?,crop_diseases,cassava,sub_humid,doc_dis_007,Via wind or rain splash from infected leaves on the plant or fallen on the ground.,64
Will severe brown leaf spot kill my cassava plant?,crop_diseases,cassava,sub_humid,doc_dis_007,"Under severe attack, leaves turn yellow, dry, and die prematurely.",65
Dark brown streaks on cassava stems with cracked storage roots — what disease?,crop_diseases,cassava,sub_humid,doc_dis_008,"Cassava brown streak disease, which also discolors and distorts storage roots.",66
How is brown streak different from cassava mosaic on the leaves?,crop_diseases,cassava,sub_humid,doc_dis_008,Brown streak leaves show yellow patches without the leaf distortion seen in mosaic disease.,67
How does cassava brown streak disease spread?,crop_diseases,cassava,sub_humid,doc_dis_008,"Mainly through infected stem cuttings, and it is also believed to spread via insects.",68
Which part of cassava is most affected by brown streak disease?,crop_diseases,cassava,sub_humid,doc_dis_008,"Storage roots become distorted, cracked, and discolored, in addition to stem and leaf symptoms.",69
Where has cassava brown streak disease historically been reported?,crop_diseases,cassava,sub_humid,doc_dis_008,Historically it was reported only in cassava-growing regions of East and Southern Africa.,70
My cassava storage roots smell bad and are rotting — cause?,crop_diseases,cassava,sub_humid,doc_dis_009,"Likely cassava root rot, caused by soil fungi common in poorly drained soils.",71
What soil conditions favor cassava root rot?,crop_diseases,cassava,sub_humid,doc_dis_009,Poorly drained soils and recently cleared forest fallow land favor root rot fungi.,72
How do root rot fungi enter cassava plants?,crop_diseases,cassava,sub_humid,doc_dis_009,"Through wounds caused by pests or farm tools, or by piercing roots directly.",73
Does cassava root rot affect other crops I grow nearby?,crop_diseases,cassava,sub_humid,doc_dis_009,"Yes, root rot fungi also attack maize, soybean, sunflower, and coffee.",74
How can I stop root rot fungi spreading between cassava fields?,crop_diseases,cassava,sub_humid,doc_dis_009,Clean tillage tools after use and burn infected plant debris.,75
Can my cassava plant recover after losing leaves to disease?,crop_diseases,cassava,sub_humid,doc_dis_010,"Most varieties tolerate leaf loss without root yield loss, so don't rush control at first symptoms.",76
Why do leaf diseases still hurt my cassava root harvest?,crop_diseases,cassava,sub_humid,doc_dis_010,"They interfere with the plant's ability to make and store food, reducing storage root number and size.",77
Why can't I use cuttings from a diseased cassava field?,crop_diseases,cassava,sub_humid,doc_dis_010,Disease contamination makes stems unhealthy and unsuitable as planting material.,78
